code,市場,銘柄名,現在値
2172,札幌ア,インサイト,373
2173,東証JQG,博展,401
2174,東証1部,ＧＣＡ,932
2175,東証1部,エス・エム・エス,3075
2176,東証JQS,イナリサーチ,725
2178,マザーズ,トライステージ,388
2179,東証JQS,成学社,801
2180,東証1部,サニーサイドアップグループ,762
2181,東証1部,パーソルホールディングス,2065
2183,東証1部,リニカル,770
2185,東証JQS,シイエム・シイ,2435
2186,東証JQS,ソーバル,1012
2191,東証JQS,テラ,219
2193,東証1部,クックパッド,259
2195,東証JQG,アミタホールディングス,2880
2196,東証1部,エスクリ,446
2198,東証1部,アイ・ケイ・ケイ,666
2201,東証1部,森永製菓,3455
2204,東証1部,中村屋,3790
2206,東証1部,江崎グリコ,4330
2207,東証1部,名糖産業,1555
2208,東証2部,ブルボン,2176
2209,東証1部,井村屋グループ,2411
2211,東証1部,不二家,2135
2212,東証1部,山崎製パン,1664
2215,東証1部,第一屋製パン,952
2216,東証2部,カンロ,1472
2217,東証1部,モロゾフ,5250
2218,札証,日糧製パン,2089
2220,東証1部,亀田製菓,4640
2221,東証JQS,岩塚製菓,4005
2222,東証1部,寿スピリッツ,6570
2224,東証JQS,コモ,2600
2226,東証JQS,湖池屋,5020
2229,東証1部,カルビー,2568
2264,東証1部,森永乳業,5940
2266,東証1部,六甲バター,1512
2267,東証1部,ヤクルト本社,5790
2268,東証JQS,Ｂ－Ｒ　サーティワン　アイスクリーム,4040
2269,東証1部,明治ホールディングス,6880
2270,東証1部,雪印メグミルク,2227
2281,東証1部,プリマハム,3165
2282,東証1部,日本ハム,4530
2286,東証1部,林兼産業,615
2288,東証1部,丸大食品,1698
2291,東証2部,福留ハム,1919
2292,東証1部,Ｓ　ＦＯＯＤＳ,3270
2293,東証JQS,滝沢ハム,3015
2294,東証1部,柿安本店,2496
2296,東証1部,伊藤ハム米久ホールディングス,721
2300,東証JQS,きょくとう,496
2301,東証1部,学情,1473
2303,東証JQS,ドーン,2886
2304,東証JQS,ＣＳＳホールディングス,264
2305,東証1部,スタジオアリス,2314
2307,東証1部,クロスキャット,1018
2309,東証1部,シミックホールディングス,1526
2311,東証1部,エプコ,958
2315,東証JQS,ＣＡＩＣＡ,236
2317,東証1部,システナ,1909
2321,東証JQG,ソフトフロントホールディングス,139
2323,東証JQS,ｆｏｎｆｕｎ,496
2325,東証1部,ＮＪＳ,2123
2326,東証1部,デジタルアーツ,8400
2327,東証1部,日鉄ソリューションズ,3210
2329,東証JQS,東北新社,698
2330,東証JQS,フォーサイド,105
2331,東証1部,ＡＬＳＯＫ,4935
2332,東証JQS,クエスト,1586
2334,マザーズ,イオレ,1576
2335,東証1部,キューブシステム,1114
2337,東証1部,いちご,350
2338,東証2部,ビットワングループ,930
2340,東証JQS,極楽湯ホールディングス,307
2341,東証JQS,アルバイトタイムス,138
2342,マザーズ,トランスジェニック,589
2344,東証JQS,平安レイサービス,880
2345,東証2部,クシム,616
2349,東証JQS,エヌアイデイ,1344
2351,マザーズ,ＡＳＪ,1263
2352,東証1部,エイジア,2329
2353,東証1部,日本駐車場開発,157
2354,東証2部,ＹＥ　ＤＩＧＩＴＡＬ,610
2359,東証1部,コア,1467
2370,マザーズ,メディネット,55
2371,東証1部,カカクコム,3205
2372,東証1部,アイロムグループ,2164
2373,東証JQS,ケア２１,862
2374,東証1部,セントケア・ホールディング,1069
2375,東証2部,ギグワークス,905
2376,東証1部,サイネックス,670
2378,東証1部,ルネサンス,1214
2379,東証1部,ディップ,3100
2384,東証1部,ＳＢＳホールディングス,3040
2385,マザーズ,総医研ホールディングス,507
2388,東証JQG,ウェッジホールディングス,102
2389,東証1部,デジタルホールディングス,2072
2391,東証JQS,プラネット,1548
2393,東証2部,日本ケアサプライ,1663
2395,東証1部,新日本科学,833
2397,東証2部,ＤＮＡチップ研究所,710
2398,東証1部,ツクイホールディングス,921
2402,マザーズ,アマナ,610
2404,東証2部,鉄人化計画,281
2406,東証JQS,アルテ　サロン　ホールディングス,502
2408,東証JQS,ＫＧ情報,335
2410,東証1部,キャリアデザインセンター,1124
2411,東証JQS,ゲンダイエージェンシー,281
2412,東証1部,ベネフィット・ワン,2960
2413,東証1部,エムスリー,7159
2415,東証JQS,ヒューマンホールディングス,878
2418,東証1部,ツカダ・グローバルホールディング,357
2424,東証1部,ブラス,530
2425,東証JQG,ケアサービス,773
2427,東証1部,アウトソーシング,1844
2428,東証1部,ウェルネット,530
2429,東証1部,ワールドホールディングス,2766
2432,東証1部,ディー・エヌ・エー,2086
2433,東証1部,博報堂ＤＹホールディングス,1833
2435,東証JQS,シダー,236
2436,東証JQS,共同ピーアール,783
2437,東証JQS,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,409
2438,マザーズ,アスカネット,1006
2440,東証1部,ぐるなび,584
2445,東証1部,タカミヤ,520
2449,東証JQS,プラップジャパン,1305
2453,東証1部,ジャパンベストレスキューシステム,713
2454,東証JQS,オールアバウト,807
2459,東証2部,アウンコンサルティング,222
2461,東証1部,ファンコミュニケーションズ,388
2462,東証1部,ライク,2351
2464,東証1部,ビジネス・ブレークスルー,443
2467,名古屋セ,バルクホールディングス,227
2468,東証2部,フュートレック,359
2469,東証JQS,ヒビノ,1380
2471,東証1部,エスプール,911
2475,東証1部,ＷＤＢホールディングス,2499
2477,東証1部,手間いらず,6280
2479,東証JQG,ジェイテック,182
2480,東証JQS,システム・ロケーション,1600
2481,東証JQS,タウンニュース社,416
2483,東証JQS,翻訳センター,1493
2484,東証JQS,出前館,1759
2485,東証1部,ティア,482
2487,東証1部,ＣＤＧ,1589
2488,東証JQS,ＪＴＰ,772
2489,東証1部,アドウェイズ,958
2491,東証1部,バリューコマース,3165
2492,東証1部,インフォマート,957
2493,東証JQS,イーサポートリンク,1008
2497,マザーズ,ユナイテッド,1401
2498,東証JQS,オリエンタルコンサルタンツホールディングス,2689
2499,東証2部,日本和装ホールディングス,240
2501,東証1部,サッポロホールディングス,2174
2502,東証1部,アサヒグループホールディングス,5122
2503,東証1部,キリンホールディングス,2175
2531,東証1部,宝ホールディングス,1426
2533,東証1部,オエノンホールディングス,386
2540,東証1部,養命酒製造,1845
2551,名証2部,マルサンアイ,4000
2573,東証2部,北海道コカ・コーラボトリング,4240
2579,東証1部,コカ・コーラ　ボトラーズジャパンホールディングス,1782
2586,マザーズ,フルッタフルッタ,255
2587,東証1部,サントリー食品インターナショナル,4005
2588,東証2部,プレミアムウォーターホールディングス,2915
2590,東証1部,ダイドーグループホールディングス,5210
2593,東証1部,伊藤園,6200
2594,東証1部,キーコーヒー,2066
2597,東証1部,ユニカフェ,998
2599,東証1部,ジャパンフーズ,1232
2602,東証1部,日清オイリオグループ,3035
2607,東証1部,不二製油グループ本社,2785
2612,東証1部,かどや製油,4010
2613,東証1部,Ｊ－オイルミルズ,1922
2651,東証1部,ローソン,5020
2652,東証2部,まんだらけ,566
2653,東証JQS,イオン九州,1965
2654,東証2部,アスモ,539
2656,東証JQS,ベクター,337
2659,東証1部,サンエー,4265
2664,東証1部,カワチ薬品,2301
2666,東証JQS,オートウェーブ,117
2667,東証JQS,イメージ　ワン,760
2668,東証2部,タビオ,1014
2669,東証JQS,カネ美食品,2980
2670,東証1部,エービーシー・マート,6040
2673,東証JQS,夢みつけ隊,162
2674,東証1部,ハードオフコーポレーション,772
2675,東証2部,ダイナックホールディングス,1296
2676,東証1部,高千穂交易,1172
2678,東証1部,アスクル,1752
2681,東証1部,ゲオホールディングス,1139
2683,東証2部,魚喜,1219
2685,東証1部,アダストリア,1846
2686,東証1部,ジーフット,407
2687,東証1部,シー・ヴイ・エス・ベイエリア,400
2689,東証1部,オルバヘルスケアホールディングス,1725
2692,東証1部,伊藤忠食品,5040
2693,東証JQS,ＹＫＴ,289
2694,東証JQS,ジー・テイスト,67
2695,東証1部,くら寿司,3935
2698,東証1部,キャンドゥ,2100
2700,東証JQS,木徳神糧,3590
2702,東証JQS,日本マクドナルドホールディングス,4990
2705,東証JQS,大戸屋ホールディングス,2676
2706,東証JQS,ブロッコリー,1541
2708,東証JQS,久世,701
2715,東証1部,エレマテック,1235
2721,東証JQS,ジェイホールディングス,260
2722,東証1部,アイケイ,788
2726,東証1部,パルグループホールディングス,1601
2729,東証1部,ＪＡＬＵＸ,1626
2730,東証1部,エディオン,1124
2733,東証1部,あらた,4240
2734,東証1部,サーラコーポレーション,609
2735,東証1部,ワッツ,924
2736,東証JQS,フェスタリアホールディングス,1488
2737,東証1部,トーメンデバイス,4015
2742,東証1部,ハローズ,2881
2743,東証JQS,ピクセルカンパニーズ,107
2747,東証JQS,北雄ラッキー,3120
2749,東証1部,ＪＰホールディングス,294
2750,東証JQS,石光商事,472
2751,東証JQS,テンポスホールディングス,2172
2752,東証1部,フジオフードグループ本社,1372
2753,東証1部,あみやき亭,2857
2754,東証JQS,東葛ホールディングス,424
2760,東証1部,東京エレクトロン　デバイス,5980
2761,東証JQS,トシン・グループ,6100
2762,東証2部,三光マーケティングフーズ,258
2763,東証JQS,エフティグループ,1302
2764,東証1部,ひらまつ,166
2767,東証1部,フィールズ,453
2768,東証1部,双日,335
2769,東証JQS,ヴィレッジヴァンガードコーポレーション,992
2773,東証JQS,ミューチュアル,887
2776,東証JQS,新都ホールディングス,77
2777,東証JQS,カッシーナ・イクスシー,838
2778,東証2部,パレモ・ホールディングス,169
2780,東証2部,コメ兵ホールディングス,1077
2782,東証JQS,セリア,4055
2784,東証1部,アルフレッサ　ホールディングス,1675
2788,東証2部,アップルインターナショナル,272
2789,東証JQS,カルラ,416
2790,東証JQS,ナフコ,1969
2791,東証1部,大黒天物産,7740
2792,東証1部,ハニーズホールディングス,1048
2795,東証JQS,日本プリメックス,718
2796,東証1部,ファーマライズホールディングス,788
2798,東証2部,ワイズテーブルコーポレーション,1866
2801,東証1部,キッコーマン,6790
2802,東証1部,味の素,2427
2804,東証1部,ブルドックソース,2263
2805,東証2部,ヱスビー食品,4650
2806,東証2部,ユタカフーズ,1905
2809,東証1部,キユーピー,2576
2810,東証1部,ハウス食品グループ本社,3170
2811,東証1部,カゴメ,3000
2812,東証1部,焼津水産化学工業,978
2813,東証JQS,和弘食品,2520
2814,東証JQS,佐藤食品工業,1572
2815,東証1部,アリアケジャパン,6330
2816,東証2部,ダイショー,1323
2818,東証1部,ピエトロ,1650
2819,東証1部,エバラ食品工業,2634
2820,東証1部,やまみ,2094
