code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
3498,"7,908,985","3,029,039",,"2,174,885",,,,"4,241,712","2,725,264"
3536,"9,044,870","4,054,933",,,"8,027,492","104,893","1,190,164","11,797,514","4,595,282"
3540,"15,378","3,605",,,"1,516",160,642,"3,745",411
3541,"1,918,722","984,683",,"58,015",,,,"1,010,094","280,737"
3543,"27,938",,,"12,819",,,,"23,771",
3550,"3,545,671","2,348,216",,,"160,524",,"549,114","635,620","692,528"
3556,"8,412,374","2,720,284",,"363,935",,,,"3,610,024","4,193,588"
3559,"1,377,330","1,007,566",,,"12,264",,"92,522","330,153","14,435"
3562,"5,026,490","1,911,838",,,"648,390","29,018","602,989","3,066,297","1,533,533"
3566,"2,087,915","1,471,554",,,"992,423",,,"888,071","111,265"
3577,"5,443,096","2,274,560",,,"5,269,097","1,796,665","2,124,746","3,075,901","2,971,299"
3607,"5,845,151","4,770,951",,,"5,239,975","18,015","3,257,633","8,209,787","3,607,684"
3626,"229,965","83,318",,,"64,197","86,005","125,760","100,915","70,726"
3627,"3,995,160","2,050,141",,,"204,464","77,924","2,165,595","1,457,104","186,443"
3630,"39,096,675","11,841,581",,,"3,137,651","1,994,230","2,471,264","28,525,449","1,740,434"
3636,"61,266","21,174",,,"10,530","16,073","23,734","22,529","14,789"
3640,"9,026,101","678,382",,,"6,865,715","398,707","1,429,797","8,149,657","4,867,032"
3646,"2,864,778","2,584,503",,,"94,160","18,702","163,624","261,223","183,092"
3647,"3,333,903","961,999",,,"77,886",,"118,890","503,260","747,110"
3649,"3,289,385","1,824,472",,"76,828",,,,"596,629","184,648"
3653,"4,709,648","4,374,555",,,"170,645","163,798","301,490","305,831","47,286"
3665,"12,339,150","11,807,725",,,"68,746","193,341","318,638","3,509,476","7,152"
3667,"1,585,717","937,857",,,,,"332,367","1,038,623","2,044"
3673,,,,,,,,"6,393,268",
3676,"9,744,997","5,076,396",,,"598,606","191,529","1,324,469","7,904,503","119,536"
3677,"5,002,704","3,187,337",,"136,145",,"501,006","986,916","1,696,830","418,992"
3678,"33,902","12,703",,,303,"2,761","2,651","25,425","5,593"
3681,"5,299,218","2,545,945",,"1,616,177",,,,"5,767,283","1,514,495"
3686,"3,156,214","2,593,580",,,"18,830","622,027","680,554","428,584","77,022"
3688,"37,979","15,169",,"1,446",,"4,501","5,920","23,815","1,508"
3689,"2,073,557","542,436",,"171,251",,"216,118","1,051,861","1,854,295","232,789"
3738,"183,612","49,401",,,"4,487","4,119","22,603","148,474","21,325"
3744,"5,732,009","2,648,683",,,"128,760","251,527","563,290",,
3762,"24,110,992","8,929,277",,,"690,470","801,307","3,784,265",,
3765,"118,886","102,743",,,879,59,"5,596","14,896","1,219"
3772,"23,610,359","2,159,660",,,"97,310","1,769,387","2,019,856","1,707,478","15,418,894"
3774,"93,404,657",,,"17,084,401",,,,"73,259,027",
3775,"2,389,210","841,359",,,"54,483","2,000","38,473","375,853","416,960"
3782,"2,617,054","1,713,292",,,"280,413","96,111","208,993","470,290","231,773"
3784,"13,956,778","6,819,846",,,"1,282,726",,"1,867,588","6,111,112","2,826,692"
3803,"670,576","321,458",,,0,"94,975","129,173","120,598","332,275"
3807,"513,821","235,211",,"58,575",,"1,546,395","1,672,856","255,659","78,735"
3816,"3,180,924","2,727,203",,,"1,130,080",,"594,349","512,999","315,791"
3817,"25,094","8,940",,,189,"9,029","12,279","11,104","4,351"
3826,"2,544,665","1,473,588",,,"58,674","110,273","325,537","1,066,973",-
3830,"8,479,676","3,489,979",,,"1,856,362","204,476","682,757","3,820,779","3,264,681"
3834,"8,495","4,239",,,"2,370","1,059","1,368","1,821",
3837,,,,,,,,"2,029,009",
3840,"955,322","205,657",,,"28,838",,"28,679","392,572",-
3843,"26,380,267","15,504,664",,"3,033,282",,"2,029,947","3,044,536","12,234,414","8,181,679"
3845,"1,043,481","475,313",,,256,,"47,590","520,792","141,516"
3848,"3,699,276","3,460,713",,,"188,747","505,456","723,668","866,851","86,463"
3854,"5,162,534","2,498,604",,"458,611",,,"1,149,450","2,065,595","1,557,863"
3857,"16,349,114","6,367,346",,,"2,214,212","Å¶1 1,203,797","2,941,986","10,032,451","2,933,060"
3861,"668,770","130,529",,,"1,041,413","163,961","259,083","441,713","674,117"
3864,"88,614","15,701",,,"Å¶1 88,934","Å¶1 20,231","30,298",,
3878,"18,482","4,060",,,"16,538","4,652","5,099","15,852","9,492"
3891,"14,555,754","4,578,740",,,"9,228,137","255,532","1,177,666","4,979,982","3,444,928"
3908,"1,829,670","1,539,510",,,"261,849",,"65,175","304,311","146,141"
3915,"8,845,697","6,094,887",,,"387,577","5,021,198","5,583,754","3,563,262","1,544,681"
3919,"6,921,940","5,049,032",,,"85,375","239,478","638,171","3,127,739","454,935"
3920,"2,381,848","1,171,678",,"43,795",,"378,548","593,425","1,153,469","341,439"
3922,"3,051,215","2,531,595",,,"87,609",800,"170,962","968,112","5,357"
3927,"1,750,730","1,529,598",,,0,"144,027","281,895","364,093","435,432"
3928,"3,447,888","1,836,046",,"58,802",,"205,905","856,271","1,177,461","584,454"
3932,"38,256","27,986",,,571,"6,092","7,199","5,997","4,278"
3939,"2,025,870","1,899,510",,"46,800",,,"92,823","383,238","12,061"
3943,"13,697,931","7,053,667",,,"6,749,358","1,175,528","1,879,905","5,772,834","1,982,382"
3947,"20,591,288","2,484,142",,,"21,420,673","22,025,361","23,075,987","18,337,681","8,527,231"
3954,"16,205,812","7,575,986",,,"4,747,924","6,036,082","6,820,219","6,715,801","2,050,438"
3955,"8,616","2,922",,,"7,495","1,206","2,509","4,065",536
3961,"1,056,559","824,554",,"26,345",,,"21,638","119,295",
3977,"484,584","211,376",,,"70,221","25,590","48,330","201,649","179,713"
3987,"1,692,830","701,956",,"157,064",,,"106,280","548,949","415,243"
3991,"1,950,576","1,672,982",,"96,981",,,"182,258","912,134",
3992,"2,970,456","2,038,930",,,"37,670","111,775","392,454","838,128",-
3994,"12,525,363","7,603,084",,"479,787",,"2,358,779","3,292,478","7,884,293","3,011,526"
3996,,,,,,,,"494,289","346,013"
4016,"1,116,719","387,495",,"21,602",,,,"728,067","193,262"
4017,"3,568,212","2,885,204",,,"18,517",,"107,530","2,313,503","298,928"
4019,"1,448,444","1,398,105",,"4,488",,,,"535,437","103,746"
4020,"557,014","437,614",,"4,220",,,,"94,261","4,432"
4021,,,,,,,,"59,744","5,202"
4027,"36,979","13,329",,,"17,624","11,797","12,806","9,999","8,948"
4044,"132,113","27,975",,,"103,382","42,514","48,034","59,116","56,706"
4046,"73,876","17,436",,,"20,536","22,965","24,178","26,818","15,322"
4053,"6,187,626","5,241,695",,,"81,236","175,614","277,474","1,012,047","166,063"
4055,"1,425,951","1,024,808",,"22,760",,,,"220,023","48,254"
4061,,,,,,,,"155,062","100,935"
4063,"1,914,909","866,882",,,"1,165,149","150,573","291,635","363,246","130,743"
4100,"23,065","6,629",,,"10,709","3,526","7,807","19,051","13,356"
4102,"8,677,685","3,461,053",,,"3,174,084","4,388,409","4,707,288","3,109,922","3,677,371"
4151,,,,,,,,"79,181",
4168,"3,361,584","2,922,173",,"191,036",,,,"582,990","187,522"
4170,"3,341,018","3,057,759",,"4,235",,,"151,177","273,245","250,000"
4176,"1,867,300","1,454,822",,,"108,944",,"188,185","1,880,454",
4177,"2,574,760","2,439,458",,,"55,462",,"110,779","1,145,144","562,570"
4178,"1,208,076","616,156",,"1,294",,,,"479,877",
4193,"1,624,557","1,054,884",,,"299,713","10,106","191,883","1,020,049","440,034"
4228,"62,744","12,531",,,"61,432","21,350","30,889","43,305","44,475"
4235,,,,,,,,"7,900",
4243,"3,321,603","1,737,504",,,"1,910,596","16,192","197,475","995,447","915,777"
4274,"1,882,268","868,191",,,"1,742,288",,,,
4275,"20,746","5,547",,,"19,874","8,979","10,248","12,834","9,142"
4284,"7,477,501","4,527,520",,"635,887",,"1,395,067","2,572,799","2,376,038","2,104,462"
4304,"6,394,852","4,768,232",,,"314,560","254,810","900,138",,
4307,"324,298","154,847",,,"61,207","32,754","156,902","154,458","119,108"
4308,"9,754,573","6,525,595",,,"510,341","3,991","372,762","2,390,736","280,285"
4320,"6,384,254","2,485,309",,"572,915",,,"1,954,866","3,038,990","1,332,755"
4323,"9,696,321","4,854,727",,,"542,601","632,126","2,243,803","4,388,151","1,623,034"
4341,"9,188",929,,,964,41,923,"5,670",167
4345,"8,563","6,216",,,"4,078",,420,"2,539","1,786"
4348,"43,964","29,956",,,"1,054","7,494","9,776","14,241",355
4355,"5,329,905","2,491,173",,,"12,614,099","21,975","1,028,144","8,544,968","7,961,499"
4356,"4,077,780","630,568",,"121,442",,,"246,286","1,215,862","54,665"
4386,"1,669,764","714,276",,,"68,136","1,605","839,895","738,312","311,323"
4387,"1,881,116","1,253,624",,,"31,229","35,000","142,157","641,694","15,322"
4394,"1,443,219","1,269,455",,"18,700",,,,"99,017",
4396,"5,071,071","2,403,769",,"335,507",,,,"3,044,913","534,424"
4397,"2,790,524","2,481,754",,"64,753",,,,"1,596,377",
4403,"155,176","78,669",,,"62,212","47,744","53,158","48,360","19,659"
4422,"707,497","647,444",,"67,375",,,,"94,065","1,124"
4427,"15,839,020","12,143,092",,"555,299",,,,"5,025,823","4,669,795"
4428,"1,351,491","1,169,518",,"35,839",,,,"319,136","55,187"
4435,"2,262,608","1,955,069",,,"235,914","96,146","500,954","1,597,747","454,858"
4439,"7,409,238","4,144,437",,"340,467",,"24,444","352,743","2,998,752","356,444"
4461,"43,997","11,595",,,"34,317","4,372","5,884","22,071","25,556"
4463,"27,660","9,209",,,"23,511",,"3,430","17,874","12,069"
4481,"7,733,955","5,698,028",,"36,790",,"868,084","1,140,106","1,650,638","199,830"
4486,"1,542,761","1,511,691",,,"92,403",,"57,423","474,618","21,293"
4491,"3,068,624","2,045,720",,,"29,586","288,731","570,644","799,675","542,209"
4503,"872,588",,,"264,623",,,,,
4506,"459,795",,,"64,966",,,,"278,147",
4512,"7,638,052","2,843,762",,,"3,526,508","2,466,163","3,206,634","1,712,726","1,474,174"
4523,"521,405",,,"144,638",,,,"251,965",
4524,"6,111","2,703",,,"4,734","3,148","3,211","2,074","2,098"
4526,"53,326","19,230",,,"27,861","20,573","24,667","52,812","7,048"
4541,,,,ì˙à„çHäÚïåçHèÍÇÃòAåãéqâÔé–âªÇ»Ç«,,,,,
4544,"118,013","42,961",,,"61,162","10,388","45,966","62,918","74,534"
4548,"43,558","15,192",,,"8,302","14,373","15,703","5,609",702
4552,"48,545","26,260",,,"17,172","2,572","4,833","29,028","6,199"
4556,"4,057,857","2,243,770",,,"2,531,546","156,554","275,389","1,893,860","408,961"
4558,"2,956,746","1,457,724",,,"1,730,512","29,886","416,234","2,026,715","698,994"
4569,"114,027","27,445",,,"23,896","Å¶1 23,645","25,417","27,407","15,057"
4574,"16,128","4,706",,,"9,878","1,229","2,235","5,165","1,498"
4578,"1,014,750",,,"469,505",,,,,
4579,"3,328,551","2,035,009",,,"362,107","887,792","901,229","357,668","52,507"
4592,"13,131,925","12,480,165",,,"141,784",-,"16,464","2,468,900","2,525,000"
4598,"2,115,321","2,088,612",,,"41,594",,"4,264","82,465",
4612,,,,,,,,"339,998",
4617,"72,132","24,683",,,"24,449","Å¶1 7,211","8,185","36,187","5,870"
4621,"26,033","14,663",,,"16,192","3,353","4,302","4,922","3,198"
4625,"8,829,315","2,823,839",,,"4,366,828","679,239","1,003,033","4,187,478","690,431"
4627,"17,585,153","7,292,633",,,"6,394,342","417,199","605,513","4,650,432","742,457"
4649,"6,423,261","3,014,197",,,"3,534,642","2,381,943","4,093,523","3,349,985","2,809,158"
4650,"1,459,134","900,903",,,"4,447,056","26,676","938,993","2,990,784","2,475,249"
4658,"20,156","Å¶2 6,686",,,"8,284","5,620","6,311","10,360","4,161"
4667,"5,428,504","4,213,646",,,"716,484","623,436","760,454","1,041,805","313,250"
4671,"21,449","11,618",,,"9,200","3,824","5,839","10,239","6,343"
4680,"54,019","44,851",,,"79,257",,"16,499","24,258","85,425"
4709,"10,487,021","5,016,411",,,"1,437,746","1,428,364","2,563,596","6,236,145","1,152,193"
4714,"7,018,304","3,963,694",,,"3,115,682","124,027","3,628,859","4,600,399","2,764,692"
4719,"29,811,112","20,532,135",,,"Å¶ 9,683,509","1,386,622","4,799,033","6,619,542","1,496,288"
4722,"26,735,712","16,811,732",,,"1,188,267","16,780,050","18,377,969","6,593,028","4,384,081"
4732,"81,528","67,770",,,"103,302","1,248","10,680","26,922","10,253"
4752,"5,434,556","4,593,754",,,"170,248","242,789","1,161,237","950,293","2,105,804"
4760,"2,964,795","1,350,872",,,"1,334,106",,"179,553","1,824,020","710,941"
4771,"4,133,084","3,506,240",,,"2,608,872","522,421","1,274,273","1,647,632","115,832"
4812,"76,303","3,276",,"4,009",,,"9,945","31,287","2,944"
