code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
2344,9894875,9297438,,,14524961,115579,8714936,1227204,12879040
2345,2166227,1848863,,30395,,688265,1123674,329063,395104
2349,14452591,11131189,,,384906,4378732,5650745,2497408,3006927
2352,1743566,1183336,,,128317,272196,436025,638080,786747
2353,15832940,13556160,,,10121132,845994,2303047,5494205,12920655
2354,8324767,2648240,,,751499,37465,2054587,3563543,3835279
2359,10103786,3636219,,,5591171,1172342,2562850,5491469,622987
2370,4324049,4077998,,,664231,580667,720407,270157,211407
2372,10764,4068,,,5528,1487,3434,5729,6447
2373,10005285,3309609,,,19710816,4580306,7578093,8524691,23355002
2375,7300340,3752835,,1247461,,124659,1108245,4457156,1716212
2378,9781939,7078845,,,18554241,29379,12646490,12661210,19102786
2379,17782031,12462677,,,1698070,663928,9557664,3576588,1114601
2385,7054381,4799244,,43209,,20738,175635,1055962,16086
2388,27130461,11323686,,377539,,2560136,7268258,22045295,331404
2391,2899715,2424037,,,23176,1048771,2106259,481871,429764
2397,824737,620801,,,17359,0,74415,81650,8711
2398,25309,11450,,,47567,477,7982,14671,41595
2402,6447248,1843696,,,1947677,179450,515730,8086211,2702975
2404,1969577,1314094,,,1663274,,1525041,1551091,3643781
2408,4353146,4018115,,,1606988,,131038,464288,314038
2412,28696,13064,,,1310,2725,3767,15184,1121
2415,34880547,22848737,,,3226155,222412,3888374,24130019,6604151
2418,23894,19838,,,49384,4723,19847,17227,54795
2425,2404695,969079,,,269654,,375677,1008335,355092
2427,154766,,,12189,,,,166812,
2428,13859015,10441807,,3588128,,,,12817731,218477
2429,72490,21574,,5285,,1755,5725,35058,19002
2433,626731,179312,,,34915,171193,210404,416338,162625
2435,3647,825,,,12992,,2791,6629,11318
