code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,åªã‡óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
1897,"11,844",,"8,375",,"1,608","6,092","6,469","1,406","1,039"
1898,"53,821",,"14,035",,"23,655",288,"1,669","30,877","7,742"
1899,"113,005","16,926","31,641",,"26,910","5,363","8,257","68,145","7,431"
1904,"27,280,316","13,238,291",,,"5,884,492","4,429,859","6,360,835","15,787,094","218,646"
1905,"15,102,448",,"8,335,688",,"2,465,291","323,304","542,617","5,057,794","890,513"
1909,"24,939,810","4,516,905",,,"8,955,660","1,301,256","4,880,252","16,579,583","4,473,700"
1911,"710,437","91,017",,,"195,529","183,342","216,672","364,276","352,085"
1914,"14,131,503",,"5,034,299",,"11,295,665","4,862,446","5,337,273","7,067,440","1,153,007"
1921,"22,427,373",,"9,493,281",,"15,366,771","12,664,307","12,985,060","9,566,381","6,266,504"
1925,"2,354,364",,"425,980",,"1,858,847","231,490","704,214","1,278,858","1,880,689"
1926,"73,791",,"28,259",,"21,995","7,449","16,524","35,622","1,069"
1930,"38,559",,"24,250",,"11,900","1,207","3,161","11,123","4,126"
1934,"131,340",,"39,006",,"47,011","10,214","19,855","54,331","21,876"
1938,"44,437,092",,"6,760,302",,"19,801,566","15,124,976","15,959,329","19,083,184","6,897,601"
1939,"52,127",,"8,467",,"28,120","11,029","16,143","33,414","14,015"
1941,"108,253",,"18,625",,"35,378","112,321","123,688","43,997","13,774"
1942,"278,545",,"58,478",,"111,601","46,975","61,048","144,952","32,586"
1944,"434,229",,"42,422",,"98,662","133,796","145,215","162,225","27,588"
1946,"123,909",,"46,909",,"147,615","24,253","32,622","73,718","114,773"
1949,"109,639",,"39,918",,"11,998","20,002","23,970","53,544","6,807"
1950,"167,783",,"6,457",,"47,761","40,642","47,421","68,323","12,969"
1951,"300,227",,"42,785",,"113,375","37,707","67,792","156,212","46,477"
1952,"70,127",,"12,172",,"2,834","23,006","24,956","45,173","2,756"
1954,"91,129","21,452",,,"39,413",,"17,271","65,376","30,987"
1959,"212,574",,"50,905",,"80,698","63,194","71,530","125,361","19,429"
1960,"25,142,571",,"6,642,495",,"7,136,662","4,697,018","11,250,988","12,354,332","1,709,481"
1961,"116,054",,"36,087",,"13,972","28,816","40,348","67,882","11,731"
1964,"27,616","6,922",,,"4,361","5,517","6,222","14,316","2,468"
1965,"40,959","14,726",,,"4,427","10,035","16,848","18,245","2,915"
1966,"20,795,054","2,666,275",,,"7,643,437","690,257","2,169,901","14,744,176","3,855,862"
1967,"26,534,054",,"7,228,125",,"6,139,953","10,015,848","11,220,016","11,434,854","1,345,840"
1968,"94,508",,"31,151",,"20,466","9,427","13,362","40,487","15,156"
1969,"196,511",,"64,127",,"21,036","36,114","46,900","105,408","29,888"
1971,"3,045","1,024",,,"4,335",0,306,"3,680","1,584"
1972,"21,704",,"9,298",,"7,094",9,"1,226","7,496","2,952"
1973,"211,806","68,426",,,"10,845","1,973","22,777","91,474","31,745"
1979,"165,387",,"52,059",,"10,150","32,677","44,866","86,919","15,625"
1980,"96,916","31,775",,,"5,190","17,998","29,762","52,883","4,489"
1981,,,,,,"2,579,234","3,076,047","8,462,927","749,243"
1982,"62,888","29,399",,,590,"17,751","22,476","21,434","2,110"
1992,"4,766,928",,"2,690,878",,"1,703,813","1,180,225","1,615,840","2,429,554","1,226,617"
1994,"8,295,703",,"2,265,509",,"2,987,476","219,463","2,218,895","2,531,015","619,045"
1997,"6,236,887",,"3,684,986",,"2,628,711","323,397","395,731","3,300,944","653,540"
1999,"4,202,506",,"1,849,929",,"1,902,541","340,606","1,101,726","2,774,880","589,899"
2002,"238,674","61,282",,,"215,428","147,168","159,935","108,740","133,900"
2003,"27,479","1,318",,,"13,085","7,780","11,247","9,195","3,528"
2004,"91,352","11,164",,,"84,872","28,805","31,881","71,305","38,923"
2009,"19,334,633","7,957,900",,,"10,193,423","8,523,611","8,714,316","4,287,834","2,643,647"
2053,"55,920","11,747",,,"26,036","4,836","5,516","21,389","6,271"
2055,"20,935,283","9,818,207",,,"5,334,383","Å¶1
556,569","1,548,159","9,966,649","103,690"
2058,"6,286,493","2,534,402",,,"4,285,580","703,969","1,203,184","4,640,000","2,125,369"
2107,"7,716","3,491",,,419,956,"3,021","1,367",403
2109,"60,929","17,797",,,"54,828","Å¶ÇP 10,831","24,487","27,779","27,251"
2112,"9,889","4,897",,,"10,324","4,697","6,958","8,854","8,462"
2114,"10,364,862","3,667,721",,,"3,194,747","7,406,626","9,843,521","3,632,935","1,595,986"
2117,"25,553",,,"11,432",,,,"8,156",
2120,"22,176,757",,,"1,590,795",,,,"14,402,010",
2121,"166,121","149,812",,,"12,998","13,928","23,939","24,498","12,267"
2124,"10,757","8,887",,,471,0,"1,095","3,220",171
2127,"47,765,196","42,863,754",,,"532,801","5,235,712","7,073,707","9,739,790","391,507"
2130,"7,188,210",,,"252,811",,,,"3,770,912",
2134,"493,654","112,251",,,"478,052","5,637","177,443","153,675","180,800"
