code,ó¨ìÆéëéYçáåv,åªã‡ãyÇ—óaã‡,óLå`å≈íËéëéY,óLå`å≈íËéëéYçáåv,ìäéëóLâøèÿåî,ìäéëÇªÇÃëºÇÃéëéYçáåv,ó¨ìÆïâç¬çáåv,å≈íËïâç¬çáåv
7871,31745,11524,,9034.0,3498.0,6540.0,13694,1540.0
7872,25413,8376,,2448.0,221.0,5723.0,10844,8822.0
7874,40629,23648,,20968.0,4093.0,6005.0,7438,26917.0
7875,14612,4853,,11686.0,2261.0,3016.0,10328,5229.0
7877,5780179,2333075,,3084039.0,162921.0,498723.0,1770017,921091.0
7878,1798888,718392,,379955.0,32830.0,190893.0,945818,180542.0
7879,38928417,18576620,,13573196.0,5487720.0,7834495.0,20855305,8945404.0
7883,7464968,2340737,,7229428.0,3713456.0,4326265.0,5130646,3368094.0
7885,20813906,8057401,,9715146.0,3418888.0,4636498.0,5326733,844165.0
7886,6727851,2431543,,1669735.0,34046.0,191561.0,4518204,2770234.0
7888,29648,7194,,23398.0,16.0,667.0,21173,13257.0
7893,18025083,,4675332.0,,,,6303927,
7894,9931080,3546087,,4537001.0,1112137.0,1170728.0,6908380,1141050.0
7897,6413723,1808360,,5627317.0,605155.0,623155.0,4267474,3160449.0
7899,2298401,1298821,,1112813.0,325250.0,357055.0,618964,18176.0
7901,924020,124853,,2451945.0,,253629.0,697506,524209.0
7902,5114658,3933866,,1921013.0,1508918.0,1910065.0,441613,424054.0
7903,1676784,572016,,3020931.0,638100.0,771546.0,1863758,1493319.0
7906,34939920,13271140,,16861359.0,131037.0,2587267.0,8536880,6883485.0
7908,17597,12635,,4198.0,824.0,895.0,2744,2120.0
7914,46453,12808,,57580.0,18759.0,22263.0,33501,32631.0
7915,92367,,45308.0,,,,78891,
7916,12046071,8675690,,11399068.0,5539077.0,6340653.0,7161423,4928502.0
7917,70809,8980,,38330.0,5717.0,7191.0,32014,7436.0
7918,2600,575,,4996.0,371.0,2472.0,13586,1298.0
7919,4759799,1046547,,5482897.0,265828.0,435666.0,5636227,1519373.0
7921,14439207,11099156,,4371910.0,2768647.0,4214444.0,6090924,1722217.0
7922,8284968,2485328,,2518694.0,1031993.0,1121746.0,3693768,540109.0
7923,7319340,2262632,,7773739.0,2470388.0,2990127.0,5109514,3715676.0
7925,26965,12439,,11902.0,5389.0,5867.0,6287,1269.0
7927,15646166,7379691,,6792479.0,166020.0,486504.0,7363597,3031258.0
7928,3462642,1553621,,1878719.0,94050.0,539537.0,1554128,193908.0
7932,25526,7672,,39257.0,3814.0,4348.0,16412,20031.0
7937,55886,38437,,8375.0,56.0,3740.0,1496,81.0
7938,18024,6893,,5417.0,2430.0,4360.0,13248,4337.0
7939,2818260,816979,,2678303.0,22495.0,269431.0,2728241,466680.0
7940,17372867,4882146,,7137322.0,394297.0,1335898.0,7167763,4634778.0
7942,62456,17400,,60580.0,1770.0,4838.0,31275,12216.0
7943,81752,39688,,54120.0,6321.0,10520.0,28322,17586.0
7944,40597,12259,,5766.0,959.0,3041.0,17571,8730.0
7945,25441,14362,,7494.0,1592.0,3608.0,6321,7446.0
7946,2815799,1745780,,1185541.0,2498.0,175136.0,962798,1010429.0
7950,6098052,3780740,,8339808.0,1618731.0,2041376.0,1077038,584296.0
7951,301103,,96142.0,,,,100852,
7952,38215,19474,,13388.0,5980.0,8416.0,17096,15668.0
7953,10059821,3586427,,3807198.0,2103931.0,2464552.0,5765107,1655726.0
7955,53142,21861,,19674.0,5583.0,8443.0,24582,6595.0
7957,8337009,4091611,,5955899.0,1329003.0,1508726.0,2086882,3546598.0
7958,54511203,30249244,,28815004.0,4054680.0,6610196.0,14296677,5194593.0
7959,28930163,20316445,,7088495.0,4460385.0,5152023.0,6905299,2714214.0
7962,23120899,7285697,,4446420.0,2536706.0,4178584.0,7137336,1509877.0
7963,8406745,3109388,,10498720.0,,1507828.0,4486052,5089407.0
7965,74911,36387,,12686.0,6990.0,10063.0,18859,4722.0
7966,170098,61823,,79807.0,2447.0,11371.0,63506,19406.0
7970,82191,47620,,22292.0,1789.0,3583.0,19635,1899.0
7971,45794,10361,,21056.0,4872.0,8681.0,27570,11159.0
7972,65543,19503,,25184.0,5498.0,16236.0,49245,17506.0
7975,6156234,1797520,,5529005.0,797995.0,1166617.0,1338348,1904246.0
7980,8667476,1526542,,4109720.0,1045372.0,1112657.0,6372128,1993099.0
7981,148785,74719,,83240.0,16816.0,24688.0,62958,20384.0
7983,8558858,2464576,,5177194.0,2867594.0,3494416.0,1929339,1438390.0
7985,4573267,589055,,1150566.0,102693.0,711846.0,2411602,1606170.0
7986,3435958,1524097,,1472909.0,137953.0,789213.0,1875470,322558.0
7987,28315,6467,,22910.0,2876.0,5128.0,17373,11693.0
7988,188333,97184,,108381.0,3281.0,7895.0,54846,73630.0
