code,市場,銘柄名,現在値
2195,東証JQG,アミタホールディングス,2980
2196,東証1部,エスクリ,433
2198,東証1部,アイ・ケイ・ケイ,650
2201,東証1部,森永製菓,3510
2204,東証1部,中村屋,3810
2206,東証1部,江崎グリコ,4330
2207,東証1部,名糖産業,1535
2208,東証2部,ブルボン,2213
2209,東証1部,井村屋グループ,2432
2211,東証1部,不二家,2132
2212,東証1部,山崎製パン,1700
2215,東証1部,第一屋製パン,952
2216,東証2部,カンロ,1479
2217,東証1部,モロゾフ,5240
2218,札証,日糧製パン,2042
2220,東証1部,亀田製菓,4630
2221,東証JQS,岩塚製菓,4085
2222,東証1部,寿スピリッツ,6320
2224,東証JQS,コモ,2608
2226,東証JQS,湖池屋,5000
2229,東証1部,カルビー,2596
2264,東証1部,森永乳業,6110
2266,東証1部,六甲バター,1517
2267,東証1部,ヤクルト本社,5860
2268,東証JQS,Ｂ－Ｒ　サーティワン　アイスクリーム,4030
2269,東証1部,明治ホールディングス,6790
2270,東証1部,雪印メグミルク,2294
2281,東証1部,プリマハム,3235
2282,東証1部,日本ハム,4600
2286,東証1部,林兼産業,632
2288,東証1部,丸大食品,1709
2291,東証2部,福留ハム,1910
2292,東証1部,Ｓ　ＦＯＯＤＳ,3300
2293,東証JQS,滝沢ハム,3060
2294,東証1部,柿安本店,2507
2296,東証1部,伊藤ハム米久ホールディングス,726
2300,東証JQS,きょくとう,496
2301,東証1部,学情,1410
2303,東証JQS,ドーン,2778
2304,東証JQS,ＣＳＳホールディングス,263
2305,東証1部,スタジオアリス,2346
2307,東証1部,クロスキャット,1010
2309,東証1部,シミックホールディングス,1553
2311,東証1部,エプコ,975
2315,東証JQS,ＣＡＩＣＡ,243
2317,東証1部,システナ,1818
2321,東証JQG,ソフトフロントホールディングス,139
2323,東証JQS,ｆｏｎｆｕｎ,491
2325,東証1部,ＮＪＳ,2112
2326,東証1部,デジタルアーツ,8430
2327,東証1部,日鉄ソリューションズ,3085
2329,東証JQS,東北新社,716
2330,東証JQS,フォーサイド,105
2331,東証1部,ＡＬＳＯＫ,4890
2332,東証JQS,クエスト,1520
2334,マザーズ,イオレ,1500
2335,東証1部,キューブシステム,1032
2337,東証1部,いちご,350
2338,東証2部,ビットワングループ,907
2340,東証JQS,極楽湯ホールディングス,305
2341,東証JQS,アルバイトタイムス,135
2342,マザーズ,トランスジェニック,565
2344,東証JQS,平安レイサービス,874
2345,東証2部,クシム,587
2349,東証JQS,エヌアイデイ,1366
2351,マザーズ,ＡＳＪ,1201
2352,東証1部,エイジア,2258
2353,東証1部,日本駐車場開発,157
2354,東証2部,ＹＥ　ＤＩＧＩＴＡＬ,588
2359,東証1部,コア,1432
2370,マザーズ,メディネット,55
2371,東証1部,カカクコム,3030
2372,東証1部,アイロムグループ,2105
2373,東証JQS,ケア２１,846
2374,東証1部,セントケア・ホールディング,1076
2375,東証2部,ギグワークス,850
2376,東証1部,サイネックス,656
2378,東証1部,ルネサンス,1156
2379,東証1部,ディップ,2880
2384,東証1部,ＳＢＳホールディングス,2923
2385,マザーズ,総医研ホールディングス,479
2388,東証JQG,ウェッジホールディングス,99
2389,東証1部,デジタルホールディングス,1913
2391,東証JQS,プラネット,1557
2393,東証2部,日本ケアサプライ,1657
2395,東証1部,新日本科学,787
2397,東証2部,ＤＮＡチップ研究所,707
2398,東証1部,ツクイホールディングス,921
2402,マザーズ,アマナ,600
2404,東証2部,鉄人化計画,287
2406,東証JQS,アルテ　サロン　ホールディングス,505
2408,東証JQS,ＫＧ情報,335
2410,東証1部,キャリアデザインセンター,1133
2411,東証JQS,ゲンダイエージェンシー,282
2412,東証1部,ベネフィット・ワン,2743
2413,東証1部,エムスリー,7128
2415,東証JQS,ヒューマンホールディングス,859
2418,東証1部,ツカダ・グローバルホールディング,351
2424,東証1部,ブラス,536
2425,東証JQG,ケアサービス,765
2427,東証1部,アウトソーシング,1867
2428,東証1部,ウェルネット,509
2429,東証1部,ワールドホールディングス,2685
2432,東証1部,ディー・エヌ・エー,2012
2433,東証1部,博報堂ＤＹホールディングス,1809
2435,東証JQS,シダー,237
2436,東証JQS,共同ピーアール,774
2437,東証JQS,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,423
2438,マザーズ,アスカネット,955
2440,東証1部,ぐるなび,577
2445,東証1部,タカミヤ,530
2449,東証JQS,プラップジャパン,1308
2453,東証1部,ジャパンベストレスキューシステム,701
2454,東証JQS,オールアバウト,760
2459,東証2部,アウンコンサルティング,220
2461,東証1部,ファンコミュニケーションズ,385
2462,東証1部,ライク,2272
2464,東証1部,ビジネス・ブレークスルー,447
2467,名古屋セ,バルクホールディングス,230
2468,東証2部,フュートレック,355
2469,東証JQS,ヒビノ,1345
2471,東証1部,エスプール,875
2475,東証1部,ＷＤＢホールディングス,2491
2477,東証1部,手間いらず,5830
2479,東証JQG,ジェイテック,181
2480,東証JQS,システム・ロケーション,1458
2481,東証JQS,タウンニュース社,413
