code,市場,銘柄名,現在値
2354,東証2部,ＹＥ　ＤＩＧＩＴＡＬ,583
2359,東証1部,コア,1425
2370,マザーズ,メディネット,53
2371,東証1部,カカクコム,2950
2372,東証1部,アイロムグループ,2058
2373,東証JQS,ケア２１,845
2374,東証1部,セントケア・ホールディング,1076
2375,東証2部,ギグワークス,806
2376,東証1部,サイネックス,660
2378,東証1部,ルネサンス,1088
2379,東証1部,ディップ,2802
2384,東証1部,ＳＢＳホールディングス,2900
2385,マザーズ,総医研ホールディングス,472
2388,東証JQG,ウェッジホールディングス,95
2389,東証1部,デジタルホールディングス,1891
2391,東証JQS,プラネット,1539
2393,東証2部,日本ケアサプライ,1655
2395,東証1部,新日本科学,772
2397,東証2部,ＤＮＡチップ研究所,685
2398,東証1部,ツクイホールディングス,921
2402,マザーズ,アマナ,600
2404,東証2部,鉄人化計画,274
2406,東証JQS,アルテ　サロン　ホールディングス,503
2408,東証JQS,ＫＧ情報,335
2410,東証1部,キャリアデザインセンター,1094
2411,東証JQS,ゲンダイエージェンシー,281
2412,東証1部,ベネフィット・ワン,2688
2413,東証1部,エムスリー,6957
2415,東証JQS,ヒューマンホールディングス,850
2418,東証1部,ツカダ・グローバルホールディング,329
2424,東証1部,ブラス,501
2425,東証JQG,ケアサービス,746
2427,東証1部,アウトソーシング,1835
2428,東証1部,ウェルネット,503
2429,東証1部,ワールドホールディングス,2674
2432,東証1部,ディー・エヌ・エー,2005
2433,東証1部,博報堂ＤＹホールディングス,1784
2435,東証JQS,シダー,231
2436,東証JQS,共同ピーアール,770
2437,東証JQS,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,403
2438,マザーズ,アスカネット,938
2440,東証1部,ぐるなび,554
2445,東証1部,タカミヤ,515
2449,東証JQS,プラップジャパン,1308
2453,東証1部,ジャパンベストレスキューシステム,694
2454,東証JQS,オールアバウト,753
2459,東証2部,アウンコンサルティング,214
2461,東証1部,ファンコミュニケーションズ,377
2462,東証1部,ライク,2279
2464,東証1部,ビジネス・ブレークスルー,444
2467,名古屋セ,バルクホールディングス,235
2468,東証2部,フュートレック,352
2469,東証JQS,ヒビノ,1322
2471,東証1部,エスプール,881
2475,東証1部,ＷＤＢホールディングス,2456
2477,東証1部,手間いらず,5510
2479,東証JQG,ジェイテック,179
2480,東証JQS,システム・ロケーション,1450
2481,東証JQS,タウンニュース社,408
2483,東証JQS,翻訳センター,1487
2484,東証JQS,出前館,1727
2485,東証1部,ティア,481
2487,東証1部,ＣＤＧ,1581
2488,東証JQS,ＪＴＰ,761
2489,東証1部,アドウェイズ,917
2491,東証1部,バリューコマース,3005
2492,東証1部,インフォマート,863
2493,東証JQS,イーサポートリンク,1006
2497,マザーズ,ユナイテッド,1396
2498,東証JQS,オリエンタルコンサルタンツホールディングス,2600
2499,東証2部,日本和装ホールディングス,230
2501,東証1部,サッポロホールディングス,2205
2502,東証1部,アサヒグループホールディングス,5033
2503,東証1部,キリンホールディングス,2142.5
2531,東証1部,宝ホールディングス,1418
2533,東証1部,オエノンホールディングス,387
2540,東証1部,養命酒製造,1846
2551,名証2部,マルサンアイ,4000
2573,東証2部,北海道コカ・コーラボトリング,4230
2579,東証1部,コカ・コーラ　ボトラーズジャパンホールディングス,1856
2586,マザーズ,フルッタフルッタ,287
2587,東証1部,サントリー食品インターナショナル,4090
2588,東証2部,プレミアムウォーターホールディングス,2854
2590,東証1部,ダイドーグループホールディングス,5160
2593,東証1部,伊藤園,6310
2594,東証1部,キーコーヒー,2081
2597,東証1部,ユニカフェ,1002
2599,東証1部,ジャパンフーズ,1233
2602,東証1部,日清オイリオグループ,3025
2607,東証1部,不二製油グループ本社,2841
2612,東証1部,かどや製油,4035
2613,東証1部,Ｊ－オイルミルズ,1910
2651,東証1部,ローソン,4915
2652,東証2部,まんだらけ,548
2653,東証JQS,イオン九州,1937
2654,東証2部,アスモ,541
2656,東証JQS,ベクター,310
2659,東証1部,サンエー,4285
2664,東証1部,カワチ薬品,2317
2666,東証JQS,オートウェーブ,114
2667,東証JQS,イメージ　ワン,738
2668,東証2部,タビオ,1015
2669,東証JQS,カネ美食品,2968
2670,東証1部,エービーシー・マート,5930
2673,東証JQS,夢みつけ隊,122
2674,東証1部,ハードオフコーポレーション,772
2675,東証2部,ダイナックホールディングス,1297
2676,東証1部,高千穂交易,1131
2678,東証1部,アスクル,3650
2681,東証1部,ゲオホールディングス,1171
2683,東証2部,魚喜,1201
2685,東証1部,アダストリア,1808
2686,東証1部,ジーフット,407
2687,東証1部,シー・ヴイ・エス・ベイエリア,397
2689,東証1部,オルバヘルスケアホールディングス,1707
2692,東証1部,伊藤忠食品,5100
2693,東証JQS,ＹＫＴ,288
2694,東証JQS,ジー・テイスト,66
2695,東証1部,くら寿司,3915
2698,東証1部,キャンドゥ,2106
2700,東証JQS,木徳神糧,3505
2702,東証JQS,日本マクドナルドホールディングス,5030
2705,東証JQS,大戸屋ホールディングス,2642
2706,東証JQS,ブロッコリー,1508
2708,東証JQS,久世,702
2715,東証1部,エレマテック,1207
2721,東証JQS,ジェイホールディングス,267
2722,東証1部,アイケイ,762
2726,東証1部,パルグループホールディングス,1561
2729,東証1部,ＪＡＬＵＸ,1598
2730,東証1部,エディオン,1131
2733,東証1部,あらた,4220
2734,東証1部,サーラコーポレーション,610
2735,東証1部,ワッツ,900
2736,東証JQS,フェスタリアホールディングス,1531
2737,東証1部,トーメンデバイス,3955
2742,東証1部,ハローズ,2900
2743,東証JQS,ピクセルカンパニーズ,102
2747,東証JQS,北雄ラッキー,3110
2749,東証1部,ＪＰホールディングス,286
2750,東証JQS,石光商事,460
2751,東証JQS,テンポスホールディングス,2107
2752,東証1部,フジオフードグループ本社,1397
2753,東証1部,あみやき亭,2819
2754,東証JQS,東葛ホールディングス,423
2760,東証1部,東京エレクトロン　デバイス,5990
2761,東証JQS,トシン・グループ,6250
2762,東証2部,三光マーケティングフーズ,252
2763,東証JQS,エフティグループ,1295
2764,東証1部,ひらまつ,160
2767,東証1部,フィールズ,445
2768,東証1部,双日,330
2769,東証JQS,ヴィレッジヴァンガードコーポレーション,980
2773,東証JQS,ミューチュアル,922
2776,東証JQS,新都ホールディングス,75
2777,東証JQS,カッシーナ・イクスシー,816
2778,東証2部,パレモ・ホールディングス,170
2780,東証2部,コメ兵ホールディングス,1093
2782,東証JQS,セリア,4085
2784,東証1部,アルフレッサ　ホールディングス,1738
2788,東証2部,アップルインターナショナル,253
2789,東証JQS,カルラ,414
2790,東証JQS,ナフコ,1978
2791,東証1部,大黒天物産,8540
2792,東証1部,ハニーズホールディングス,1040
